% Model,solenoidSplitCoil.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 7 2022, 14:27"
% Dimension,2
% Nodes,53341
% Expressions,1
% Description,Magnetic flux density norm
% Length unit,mm
% r,z,mf.normB (T)
33,-647,2.2833901366205362E-4
34,-647,2.2759382142839286E-4
35,-647,2.2711498894697587E-4
36.00000000000001,-647,2.2664420900743838E-4
37,-647,2.2618197171330435E-4
38,-647,2.2572872411369407E-4
39,-647,2.2549282159379207E-4
40,-647,2.2490330453459569E-4
0,-646,2.3998985009681596E-4
1,-646,2.3997039742545593E-4
2,-646,2.3994521613575497E-4
3,-646,2.3990589532778796E-4
4,-646,2.3984829424262264E-4
5,-646,2.3977188421632202E-4
6,-646,2.39678446586929E-4
7,-646,2.3958422967856752E-4
8,-646,2.394472206592828E-4
9.000000000000002,-646,2.3932535620367108E-4
10,-646,2.3914445723204256E-4
11,-646,2.3898002998342825E-4
12,-646,2.388238449764993E-4
13.000000000000002,-646,2.3862962854091213E-4
14,-646,2.383821672102507E-4
15,-646,2.3814002426508288E-4
16,-646,2.378935622442822E-4
17,-646,2.3765297965416699E-4
18.000000000000004,-646,2.3731330264430673E-4
19,-646,2.3702897716568107E-4
20,-646,2.3675287566623783E-4
21,-646,2.3648587384666838E-4
22,-646,2.3622869651128206E-4
23,-646,2.359188940127968E-4
24,-646,2.3549365769167245E-4
25,-646,2.3507317211001006E-4
26.000000000000004,-646,2.3465862315446274E-4
27,-646,2.34391576914474E-4
28,-646,2.339063187105115E-4
29,-646,2.3342900416994236E-4
30,-646,2.3302169729709485E-4
31,-646,2.3262322966779699E-4
32,-646,2.3223415131930813E-4
33,-646,2.318549538758907E-4
34,-646,2.309965861809689E-4
35,-646,2.305113395928152E-4
36.00000000000001,-646,2.3003435898033932E-4
37,-646,2.2956610041130124E-4
38,-646,2.2955407517115145E-4
39,-646,2.2895412916577504E-4
40,-646,2.283607264090361E-4
0,-645,2.4368663606638778E-4
1,-645,2.436666627664479E-4
2,-645,2.4364237499883767E-4
3,-645,2.4360063925517927E-4
4,-645,2.4354290434623426E-4
5,-645,2.4346212256167845E-4
6,-645,2.4337408341572174E-4
7,-645,2.4326275612072235E-4
8,-645,2.4313928408447883E-4
9.000000000000002,-645,2.4300265764141255E-4
10,-645,2.4284758610861306E-4
11,-645,2.4265434258189696E-4
12,-645,2.424890229238376E-4
13.000000000000002,-645,2.4227589052369086E-4
14,-645,2.4201890366787887E-4
15,-645,2.4180977732143614E-4
16,-645,2.4161038688581826E-4
17,-645,2.413814985721737E-4
18.000000000000004,-645,2.4102614474357295E-4
19,-645,2.4067286894922322E-4
20,-645,2.4039375602564347E-4
21,-645,2.4012390949768487E-4
22,-645,2.3986400172346762E-4
23,-645,2.396145953633903E-4
24,-645,2.3908316121947813E-4
25,-645,2.3865860068899127E-4
26.000000000000004,-645,2.3824009215930457E-4
27,-645,2.3802924128487493E-4
28,-645,2.3754186711398212E-4
29,-645,2.3706044433600116E-4
30,-645,2.3658602843572952E-4
31,-645,2.3617355302041606E-4
32,-645,2.357800715734615E-4
33,-645,2.3539655561053422E-4
34,-645,2.3442603215740874E-4
35,-645,2.3393354934995813E-4
36.00000000000001,-645,2.3344959421894658E-4
37,-645,2.3365832577197952E-4
38,-645,2.3304774264445977E-4
39,-645,2.324430402452428E-4
40,-645,2.3184497708993344E-4
0,-644,2.4744503150014196E-4
1,-644,2.474246204957978E-4
2,-644,2.4739981870810216E-4
3,-644,2.4735267139526924E-4
4,-644,2.47300462134049E-4
5,-644,2.472175383079749E-4
6,-644,2.471258288466448E-4
7,-644,2.4701696397973514E-4
8,-644,2.4688945803965983E-4
9.000000000000002,-644,2.4675374244258045E-4
10,-644,2.465911878526099E-4
11,-644,2.463966617353576E-4
12,-644,2.4623465349639894E-4
13.000000000000002,-644,2.4598491558222915E-4
14,-644,2.457672610644419E-4
15,-644,2.4555803414918624E-4
16,-644,2.4535841829275936E-4
17,-644,2.451402983638215E-4
18.000000000000004,-644,2.4478483176859433E-4
19,-644,2.4443337574265065E-4
20,-644,2.4408770275194272E-4
21,-644,2.4379274239980144E-4
22,-644,2.4352865574300538E-4
23,-644,2.4327527050386775E-4
24,-644,2.427004097498091E-4
25,-644,2.422706251751143E-4
26.000000000000004,-644,2.4219004043010914E-4
27,-644,2.416947365313755E-4
28,-644,2.4120420668504608E-4
29,-644,2.407196236647469E-4
30,-644,2.40242017519703E-4
31,-644,2.3977229823552096E-4
32,-644,2.393525066230602E-4
33,-644,2.3896382043994726E-4
34,-644,2.385856253660598E-4
35,-644,2.37381615942937E-4
36.00000000000001,-644,2.3688991470496512E-4
37,-644,2.371861387114081E-4
38,-644,2.3656981580795817E-4
39,-644,2.359595430505949E-4
40,-644,2.353560484337033E-4
0,-643,2.5126627257485374E-4
1,-643,2.512460531702293E-4
